caseid,injseverity
82:39:01,3
76:12:02,1
78:53:02,3
11:47:01,0
0.560439815,3
74:41:02,3
0.160428241,1
82:13:02,3
0.640983796,1
72:02:01,3
76:35:02,0
41:48:01,3
49:42:01,0
0.429884259,0
81:26:02,1
41:47:02,3
43:32:01,0
0.657662037,1
12:02:01,1
4:55:02,1
75:47:02,1
44:24:01,0
76:07:01,3
0.622928241,1
76:41:02,3
0.236828704,1
0.600011574,0
53:02:01,3
82:00:02,3
0.565300926,1
74:39:01,1
74:48:01,3
77:19:01,0
78:28:02,3
76:49:01,3
76:34:01,0
84:26:04,3
0.600023148,1
2:51:02,1
79:00:02,1
0.577094907,1
41:19:01,3
5:18:01,1
77:29:01,0
0.525706019,3
0.504884259,3
0.657650463,0
12:29:02,0
76:37:02,2
0.45974537,2
51:00:01,3
2:24:01,0
49:23:02,0
73:18:02,1
49:41:01,0
0.272928241,3
49:27:02,1
79:27:02,1
0.600011574,0
80:26:01,1
0.931261574,3
82:11:02,1
45:53:01,3
12:58:01,1
0.602789352,3
3:27:02,1
0.608344907,3
74:12:02,0
77:44:01,2
48:21:01,0
51:00:02,1
45:10:01,2
46:01:01,1
47:03:01,3
0.627106481,3
2:01:02,3
45:06:02,3
0.260428241,1
12:50:01,3
0.200023148,3
0.648622685,1
84:20:02,3
11:51:01,0
0.595150463,0
77:07:02,0
0.375717593,3
80:15:02,3
0.642384259,1
46:10:02,1
0.641678241,3
5:56:01,0
0.636122685,1
12:43:01,1
45:44:02,0
76:35:03,3
43:20:01,3
75:44:01,0
51:48:02,3
47:23:02,1
0.662511574,3
9:30:03,1
0.465983796,1
61:23:02,3
75:31:01,3
0.587523148,3
80:02:02,3
47:39:02,3
79:23:01,3
0.170162037,3
6:16:01,2
0.425706019,0
0.559733796,3
50:50:02,3
2:04:01,3
51:02:01,1
75:14:02,3
80:32:01,1
47:48:02,1
0.307662037,3
50:20:02,3
83:33:01,3
75:39:01,0
81:28:01,3
8:06:01,0
49:39:01,1
44:05:02,3
0.321539352,3
73:50:02,3
48:01:01,3
0.562523148,0
78:00:01,1
9:23:02,3
0.531956019,1
76:18:01,2
46:39:01,3
4:26:01,0
2:17:01,1
78:20:02,3
43:21:02,0
82:58:02,3
0.588900463,3
46:24:01,1
0.484039352,1
45:03:01,1
50:20:02,3
0.294456019,1
0.275023148,2
45:23:02,3
42:15:02,3
41:42:01,3
46:32:01,3
43:02:02,0
83:44:01,1
50:38:02,1
48:27:01,0
75:40:01,0
0.59931713,1
51:07:01,2
82:16:02,3
79:55:01,3
81:09:01,0
47:38:01,0
77:36:02,3
8:37:01,3
48:20:01,0
75:51:02,1
41:51:01,3
46:02:01,3
0.377789352,1
43:27:02,3
47:28:01,2
79:47:01,3
75:42:02,3
0.531979167,1
9:41:01,3
0.638900463,2
48:05:02,3
12:01:02,3
0.670844907,1
82:21:03,1
73:37:01,3
78:16:01,1
8:20:02,0
47:35:02,3
76:26:01,3
45:59:01,0
0.407662037,3
48:20:01,1
0.582662037,1
81:21:01,0
49:17:02,1
49:19:01,3
0.630578704,2
76:19:01,0
0.148634259,3
84:04:01,1
44:05:05,3
46:21:02,3
9:43:02,3
76:48:01,1
76:09:02,1
75:23:03,1
5:53:02,3
0.349328704,1
75:40:01,3
76:16:01,2
79:30:01,3
45:11:02,3
50:50:01,3
80:32:01,3
82:20:01,3
0.126400463,1
47:39:02,1
9:12:01,3
78:15:01,2
44:57:01,1
0.669456019,3
82:35:01,3
43:46:01,2
48:26:01,3
46:08:01,2
0.479884259,1
0.54306713,3
44:14:01,1
0.44931713,1
52:04:01,3
44:40:02,1
76:35:01,1
81:44:02,3
73:04:02,0
48:38:01,3
0.168761574,3
46:17:02,0
76:27:01,1
4:03:02,3
77:47:01,3
0.616678241,3
0.438923611,3
5:48:02,1
0.573634259,3
4:30:01,1
43:11:02,3
43:29:01,0
0.252789352,3
0.61599537,3
49:06:01,1
12:25:01,1
76:47:01,0
